ICNTL :         analysis driver     reformat matrix     factorization       factorization driver    solve driver
11:2            21.1779             0.6248              100.1136            101.4230                30.6493  (7:4 8:7)
11:2 7:0        3.0627              0.8663              99.8050             101.3536                30.7600
11:2 7:2        3.3312              0.5806              113.2488            114.4936                35.2673
11:2 7:3        22.8236             0.6552              100.7447            102.1781                30.1027
11:2 7:4        22.2683             0.6681              100.7547            102.2181                29.8936
11:2 7:5        22.1718             0.6876              99.7295             101.1044                30.8027
11:2 7:6        3.4443              0.6635              101.7176            103.3535                30.8436

11:2 8:0        21.2271             0.5765              101.7016            102.2813                30.5654
11:2 8:1        21.1870             0.6103              101.1163            101.7988                29.8140

11:2 7:0 8:0    3.4653              0.5732              101.3763            101.9530                30.9047
11:2 7:0 8:1    3.2121              0.9292              103.6106            104.6067                30.7865
11:2 7:0 8:3    3.1020              0.6635              101.2782            102.1387                30.6211
7:0 8:4         3.0610              0.5962              101.1116            101.8820                30.2032
7:0 8:7         3.1488              0.6124              102.1087            103.4688                30.2971
7:0 8:8         3.0606              0.5771              100.2971            102.6047                26.9282

